Tweets,tweet_date,User_location,Clean_tweets,Sentiment,hours,date,location,point,latitude,longitude,altitude
"RT @Ratan100800: #IndiaFightsCorona
Improving recovery rate
#IndiaStandwithBagga https://t.co/HWD8WA0lnB",27-05-2020 19:39,Ayodhya,#indiafightscorona improv recoveri rate #indiastandwithbagga http,Neutral,19,27-05-2020,"Ayodhya, Faizabad, Uttar Pradesh, 224123, India","(26.7990707, 82.2052321, 0.0)",26.7990707,82.2052321,0
"RT @AICTE_INDIA: .@EBSB_MHRD Digital Activities @ #AICTEdge:

Activities to be conducted by Institutions under Dept. of #HigherEducation inÂ",27-05-2020 19:38,"Jodhpur, India",digit activ #aictedg activ conduct institut dept #highereduc,Neutral,19,27-05-2020,"Jodhpur, Jodhpur Tehsil, Jodhpur District, Rajasthan, India","(26.2967719, 73.0351433, 0.0)",26.2967719,73.0351433,0
"RT @BJP4India: Aarogya Setu becomes world's largest contact tracing app.

In just 40 days, 11.54 crore people have downloaded the app.

DowÂ",27-05-2020 19:38,"Madhya Pradesh, Bhopal ",aarogya setu becom world largest contact trace day crore peopl download,Neutral,19,27-05-2020,"Bhopal, Madhya Pradesh, 462001, India","(23.2584857, 77.401989, 0.0)",23.2584857,77.401989,0
"RT @BJP4India: Aarogya Setu becomes world's largest contact tracing app.

In just 40 days, 11.54 crore people have downloaded the app.

DowÂ",27-05-2020 19:35,"New Delhi, India",aarogya setu becom world largest contact trace day crore peopl download,Neutral,19,27-05-2020,"New Delhi, Delhi, India","(28.6141793, 77.2022662, 0.0)",28.6141793,77.2022662,0
"RT @LuiypInfo: ||???? #IndiaFightsCorona ||????

?? A Tribute To All The ??
Frontline #CoronaWarriors
Who Are Battling Against
The #COVID19PandemÂ",27-05-2020 19:35,IA,#indiafightscorona tribut frontlin #coronawarrior battl against #covid pandem,Neutral,19,27-05-2020,"Iowa, United States of America","(41.9216734, -93.3122705, 0.0)",41.9216734,-93.3122705,0
"RT @payalmehta100: Here is how doctors and nurses of Sion Hospital in Mumbai clap for a 36 day old baby who recovers from #Covid_19 
#HopeÂ",27-05-2020 19:35,????,here doctor nurs sion hospit mumbai clap babi recov #covid #hope,Neutral,19,27-05-2020,,,,,
"RT @BJP4India: Aarogya Setu becomes world's largest contact tracing app.

In just 40 days, 11.54 crore people have downloaded the app.

DowÂ",27-05-2020 19:34,Beleghata calcutta,aarogya setu becom world largest contact trace day crore peopl download,Neutral,19,27-05-2020,"Beleghata, Kalimuddin Sarkar Lane, Phoolbagan, Tangra North, Kolkata, West Bengal, 700010, India","(22.5628606, 88.396255, 0.0)",22.5628606,88.396255,0
RT @Bittuverma7: Thank you @Aviralmishrabjp and @mrabhishekbjp1 for organising informative session about Indian Economy and it's current ChÂ,27-05-2020 19:32,,thank organis inform session indian economi current,Neutral,19,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
"RT @MIB_India: #IndiaFightsCorona:

In 2018, @FTIIOfficial conducted a 40-day Digital Film Production course in Port Blair. 

11 aspiring fÂ",27-05-2020 19:32,"Port louis, Mauritius",#indiafightscorona conduct digit film product cours port blair aspir,Neutral,19,27-05-2020,"Port-Louis, Port Louis, 11317, Mauritius","(-20.1637281, 57.5045331, 0.0)",-20.1637281,57.5045331,0
"RT @airnewsalerts: Railways has transported 48 lakhs passengers to their home states through #ShramikSpecialTrains.

??3543 trains have beenÂ",27-05-2020 19:30,,railway transport lakh passeng home state #shramikspecialtrain train,Neutral,19,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
